分拣中心,日期,班次,正式工,临时工
'SC48',2023/12/7,'5-13',1,1
'SC48',2023/12/7,'8-16',1,1
'SC48',2023/12/7,'12-20',1,1
'SC48',2023/12/7,'14-22',1,1
'SC48',2023/12/7,'16-24',1,1
'SC49',2023/12/7,'0-8',1,38
'SC49',2023/12/7,'5-13',2,1
'SC49',2023/12/7,'8-16',2,18
'SC49',2023/12/7,'12-20',1,1
'SC49',2023/12/7,'14-22',1,1
'SC49',2023/12/7,'16-24',6,22
'SC5',2023/12/7,'0-8',16,95
'SC5',2023/12/7,'5-13',8,1
'SC5',2023/12/7,'8-16',13,43
'SC5',2023/12/7,'12-20',3,30
'SC5',2023/12/7,'14-22',2,1
'SC5',2023/12/7,'16-24',17,77
'SC51',2023/12/7,'0-8',5,46
'SC51',2023/12/7,'5-13',1,2
'SC51',2023/12/7,'8-16',2,19
'SC51',2023/12/7,'12-20',10,9
'SC51',2023/12/7,'14-22',1,1
'SC51',2023/12/7,'16-24',18,19
'SC52',2023/12/7,'0-8',3,1
'SC52',2023/12/7,'5-13',2,1
'SC52',2023/12/7,'8-16',1,2
'SC52',2023/12/7,'12-20',3,1
'SC52',2023/12/7,'14-22',2,1
'SC52',2023/12/7,'16-24',3,5
'SC53',2023/12/7,'0-8',9,59
'SC53',2023/12/7,'5-13',4,1
'SC53',2023/12/7,'8-16',1,67
'SC53',2023/12/7,'12-20',3,1
'SC53',2023/12/7,'14-22',1,25
'SC53',2023/12/7,'16-24',20,164
'SC54',2023/12/7,'0-8',1,8
'SC54',2023/12/7,'5-13',2,1
'SC54',2023/12/7,'8-16',3,16
'SC54',2023/12/7,'12-20',1,1
'SC54',2023/12/7,'14-22',3,1
'SC54',2023/12/7,'16-24',4,26
'SC55',2023/12/7,'0-8',1,2
'SC55',2023/12/7,'5-13',3,4
'SC55',2023/12/7,'8-16',4,3
'SC55',2023/12/7,'12-20',3,5
'SC55',2023/12/7,'14-22',1,1
'SC55',2023/12/7,'16-24',1,1
'SC56',2023/12/7,'0-8',1,1
'SC56',2023/12/7,'5-13',2,1
'SC56',2023/12/7,'8-16',1,1
'SC56',2023/12/7,'12-20',2,1
'SC56',2023/12/7,'14-22',2,1
'SC56',2023/12/7,'16-24',2,4
'SC57',2023/12/7,'0-8',1,53
'SC57',2023/12/7,'5-13',1,4
'SC57',2023/12/7,'8-16',10,2
'SC57',2023/12/7,'12-20',1,5
'SC57',2023/12/7,'14-22',6,1
'SC57',2023/12/7,'16-24',9,27
'SC58',2023/12/7,'0-8',1,1
'SC58',2023/12/7,'5-13',1,1
'SC58',2023/12/7,'8-16',1,1
'SC58',2023/12/7,'12-20',1,1
'SC58',2023/12/7,'14-22',1,1
'SC58',2023/12/7,'16-24',1,5
'SC6',2023/12/7,'0-8',9,78
'SC6',2023/12/7,'5-13',8,26
'SC6',2023/12/7,'8-16',1,10
'SC6',2023/12/7,'12-20',7,5
'SC6',2023/12/7,'14-22',6,5
'SC6',2023/12/7,'16-24',1,126
'SC60',2023/12/7,'0-8',6,228
'SC60',2023/12/7,'5-13',9,24
'SC60',2023/12/7,'8-16',1,59
'SC60',2023/12/7,'12-20',8,13
'SC60',2023/12/7,'14-22',10,18
'SC60',2023/12/7,'16-24',19,216
'SC61',2023/12/7,'0-8',1,1
'SC61',2023/12/7,'5-13',1,1
'SC61',2023/12/7,'8-16',1,1
'SC61',2023/12/7,'12-20',1,1
'SC61',2023/12/7,'14-22',1,1
'SC61',2023/12/7,'16-24',2,1
'SC63',2023/12/7,'0-8',1,2
'SC63',2023/12/7,'5-13',1,2
'SC63',2023/12/7,'8-16',1,4
'SC63',2023/12/7,'12-20',1,1
'SC63',2023/12/7,'14-22',1,1
'SC63',2023/12/7,'16-24',1,2
'SC66',2023/12/7,'0-8',1,1
'SC66',2023/12/7,'5-13',1,2
'SC66',2023/12/7,'8-16',1,2
'SC66',2023/12/7,'12-20',1,1
'SC66',2023/12/7,'14-22',1,1
'SC66',2023/12/7,'16-24',1,1
'SC68',2023/12/7,'0-8',1,1
'SC68',2023/12/7,'5-13',1,1
'SC68',2023/12/7,'8-16',1,3
'SC68',2023/12/7,'12-20',1,1
'SC68',2023/12/7,'14-22',1,1
'SC68',2023/12/7,'16-24',1,5
'SC7',2023/12/7,'0-8',10,112
'SC7',2023/12/7,'5-13',2,1
'SC7',2023/12/7,'8-16',6,40
'SC7',2023/12/7,'12-20',15,64
'SC7',2023/12/7,'14-22',4,1
'SC7',2023/12/7,'16-24',1,128
'SC8',2023/12/7,'0-8',9,121
'SC8',2023/12/7,'5-13',3,22
'SC8',2023/12/7,'8-16',7,42
'SC8',2023/12/7,'12-20',2,33
'SC8',2023/12/7,'14-22',8,20
'SC8',2023/12/7,'16-24',2,138
'SC9',2023/12/7,'0-8',1,108
'SC9',2023/12/7,'5-13',2,61
'SC9',2023/12/7,'8-16',1,29
'SC9',2023/12/7,'12-20',1,1
'SC9',2023/12/7,'14-22',1,8
'SC9',2023/12/7,'16-24',2,55
'SC1',2023/12/8,'0-8',6,129
'SC1',2023/12/8,'5-13',4,32
'SC1',2023/12/8,'8-16',5,46
'SC1',2023/12/8,'12-20',1,41
'SC1',2023/12/8,'14-22',1,1
'SC1',2023/12/8,'16-24',8,125
'SC10',2023/12/8,'0-8',1,146
'SC10',2023/12/8,'5-13',5,1
'SC10',2023/12/8,'8-16',13,36
'SC10',2023/12/8,'12-20',18,1
'SC10',2023/12/8,'14-22',12,4
'SC10',2023/12/8,'16-24',1,186
'SC12',2023/12/8,'0-8',1,5
'SC12',2023/12/8,'5-13',3,4
'SC12',2023/12/8,'8-16',8,2
'SC12',2023/12/8,'12-20',1,3
'SC12',2023/12/8,'14-22',1,1
'SC12',2023/12/8,'16-24',5,1
'SC14',2023/12/8,'0-8',2,1
'SC14',2023/12/8,'5-13',1,1
'SC14',2023/12/8,'8-16',1,5
'SC14',2023/12/8,'12-20',2,1
'SC14',2023/12/8,'14-22',1,1
'SC14',2023/12/8,'16-24',2,2
'SC15',2023/12/8,'0-8',1,17
'SC15',2023/12/8,'5-13',2,13
'SC15',2023/12/8,'8-16',1,9
'SC15',2023/12/8,'12-20',2,5
'SC15',2023/12/8,'14-22',2,1
'SC15',2023/12/8,'16-24',1,20
'SC16',2023/12/8,'0-8',1,3
'SC16',2023/12/8,'5-13',2,1
'SC16',2023/12/8,'8-16',2,3
'SC16',2023/12/8,'12-20',1,1
'SC16',2023/12/8,'14-22',1,1
'SC16',2023/12/8,'16-24',3,2
'SC17',2023/12/8,'0-8',1,59
'SC17',2023/12/8,'5-13',1,17
'SC17',2023/12/8,'8-16',1,10
'SC17',2023/12/8,'12-20',7,12
'SC17',2023/12/8,'14-22',1,36
'SC17',2023/12/8,'16-24',19,39
'SC18',2023/12/8,'0-8',1,5
'SC18',2023/12/8,'5-13',2,8
'SC18',2023/12/8,'8-16',1,1
'SC18',2023/12/8,'12-20',6,2
'SC18',2023/12/8,'14-22',1,1
'SC18',2023/12/8,'16-24',3,27
'SC19',2023/12/8,'0-8',1,9
'SC19',2023/12/8,'5-13',2,4
'SC19',2023/12/8,'8-16',1,6
'SC19',2023/12/8,'12-20',1,9
'SC19',2023/12/8,'14-22',1,4
'SC19',2023/12/8,'16-24',1,18
'SC2',2023/12/8,'0-8',1,7
'SC2',2023/12/8,'5-13',1,2
'SC2',2023/12/8,'8-16',3,12
'SC2',2023/12/8,'12-20',1,1
'SC2',2023/12/8,'14-22',1,6
'SC2',2023/12/8,'16-24',9,12
'SC20',2023/12/8,'0-8',1,1
'SC20',2023/12/8,'5-13',1,1
'SC20',2023/12/8,'8-16',1,1
'SC20',2023/12/8,'12-20',1,1
'SC20',2023/12/8,'14-22',1,1
'SC20',2023/12/8,'16-24',1,1
'SC21',2023/12/8,'0-8',2,1
'SC21',2023/12/8,'5-13',1,1
'SC21',2023/12/8,'8-16',1,2
'SC21',2023/12/8,'12-20',2,1
'SC21',2023/12/8,'14-22',1,1
'SC21',2023/12/8,'16-24',2,3
'SC22',2023/12/8,'0-8',2,15
'SC22',2023/12/8,'5-13',1,7
'SC22',2023/12/8,'8-16',4,10
'SC22',2023/12/8,'12-20',1,1
'SC22',2023/12/8,'14-22',4,1
'SC22',2023/12/8,'16-24',1,25
'SC23',2023/12/8,'0-8',3,1
'SC23',2023/12/8,'5-13',1,1
'SC23',2023/12/8,'8-16',3,7
'SC23',2023/12/8,'12-20',1,1
'SC23',2023/12/8,'14-22',3,1
'SC23',2023/12/8,'16-24',1,10
'SC24',2023/12/8,'0-8',2,1
'SC24',2023/12/8,'5-13',8,2
'SC24',2023/12/8,'8-16',1,6
'SC24',2023/12/8,'12-20',2,12
'SC24',2023/12/8,'14-22',1,1
'SC24',2023/12/8,'16-24',2,1
'SC25',2023/12/8,'0-8',7,158
'SC25',2023/12/8,'5-13',1,1
'SC25',2023/12/8,'8-16',5,77
'SC25',2023/12/8,'12-20',6,1
'SC25',2023/12/8,'14-22',3,1
'SC25',2023/12/8,'16-24',3,225
'SC26',2023/12/8,'0-8',4,7
'SC26',2023/12/8,'5-13',1,1
'SC26',2023/12/8,'8-16',5,13
'SC26',2023/12/8,'12-20',1,4
'SC26',2023/12/8,'14-22',3,1
'SC26',2023/12/8,'16-24',5,1
'SC27',2023/12/8,'0-8',2,1
'SC27',2023/12/8,'5-13',2,8
'SC27',2023/12/8,'8-16',1,2
'SC27',2023/12/8,'12-20',2,3
'SC27',2023/12/8,'14-22',2,1
'SC27',2023/12/8,'16-24',4,13
'SC28',2023/12/8,'0-8',1,1
'SC28',2023/12/8,'5-13',1,1
'SC28',2023/12/8,'8-16',1,1
'SC28',2023/12/8,'12-20',1,1
'SC28',2023/12/8,'14-22',1,1
'SC28',2023/12/8,'16-24',1,2
'SC29',2023/12/8,'0-8',2,8
'SC29',2023/12/8,'5-13',1,1
'SC29',2023/12/8,'8-16',3,15
'SC29',2023/12/8,'12-20',1,1
'SC29',2023/12/8,'14-22',3,1
'SC29',2023/12/8,'16-24',1,29
'SC3',2023/12/8,'0-8',1,86
'SC3',2023/12/8,'5-13',7,42
'SC3',2023/12/8,'8-16',2,4
'SC3',2023/12/8,'12-20',7,1
'SC3',2023/12/8,'14-22',10,9
'SC3',2023/12/8,'16-24',1,29
'SC30',2023/12/8,'0-8',2,3
'SC30',2023/12/8,'5-13',1,1
'SC30',2023/12/8,'8-16',1,12
'SC30',2023/12/8,'12-20',2,1
'SC30',2023/12/8,'14-22',1,1
'SC30',2023/12/8,'16-24',6,2
'SC31',2023/12/8,'0-8',3,46
'SC31',2023/12/8,'5-13',3,1
'SC31',2023/12/8,'8-16',3,24
'SC31',2023/12/8,'12-20',9,1
'SC31',2023/12/8,'14-22',1,1
'SC31',2023/12/8,'16-24',22,6
'SC32',2023/12/8,'0-8',1,2
'SC32',2023/12/8,'5-13',1,1
'SC32',2023/12/8,'8-16',1,1
'SC32',2023/12/8,'12-20',1,1
'SC32',2023/12/8,'14-22',2,1
'SC32',2023/12/8,'16-24',2,4
'SC34',2023/12/8,'0-8',1,22
'SC34',2023/12/8,'5-13',2,1
'SC34',2023/12/8,'8-16',3,13
'SC34',2023/12/8,'12-20',1,6
'SC34',2023/12/8,'14-22',3,1
'SC34',2023/12/8,'16-24',7,20
'SC35',2023/12/8,'0-8',11,72
'SC35',2023/12/8,'5-13',6,52
'SC35',2023/12/8,'8-16',4,6
'SC35',2023/12/8,'12-20',3,1
'SC35',2023/12/8,'14-22',2,1
'SC35',2023/12/8,'16-24',5,138
'SC36',2023/12/8,'0-8',1,1
'SC36',2023/12/8,'5-13',1,1
'SC36',2023/12/8,'8-16',1,1
'SC36',2023/12/8,'12-20',1,1
'SC36',2023/12/8,'14-22',1,1
'SC36',2023/12/8,'16-24',1,1
'SC37',2023/12/8,'0-8',1,1
'SC37',2023/12/8,'5-13',1,1
'SC37',2023/12/8,'8-16',1,2
'SC37',2023/12/8,'12-20',1,1
'SC37',2023/12/8,'14-22',1,1
'SC37',2023/12/8,'16-24',1,2
'SC38',2023/12/8,'0-8',3,8
'SC38',2023/12/8,'5-13',3,1
'SC38',2023/12/8,'8-16',1,6
'SC38',2023/12/8,'12-20',1,1
'SC38',2023/12/8,'14-22',2,1
'SC38',2023/12/8,'16-24',4,9
'SC39',2023/12/8,'0-8',2,4
'SC39',2023/12/8,'5-13',1,1
'SC39',2023/12/8,'8-16',2,2
'SC39',2023/12/8,'12-20',2,1
'SC39',2023/12/8,'14-22',2,1
'SC39',2023/12/8,'16-24',1,6
'SC4',2023/12/8,'0-8',10,111
'SC4',2023/12/8,'5-13',12,1
'SC4',2023/12/8,'8-16',1,32
'SC4',2023/12/8,'12-20',3,10
'SC4',2023/12/8,'14-22',2,1
'SC4',2023/12/8,'16-24',1,142
'SC40',2023/12/8,'0-8',1,7
'SC40',2023/12/8,'5-13',3,1
'SC40',2023/12/8,'8-16',2,3
'SC40',2023/12/8,'12-20',2,1
'SC40',2023/12/8,'14-22',3,1
'SC40',2023/12/8,'16-24',8,1
'SC41',2023/12/8,'0-8',1,2
'SC41',2023/12/8,'5-13',1,1
'SC41',2023/12/8,'8-16',1,7
'SC41',2023/12/8,'12-20',1,1
'SC41',2023/12/8,'14-22',1,1
'SC41',2023/12/8,'16-24',1,1
'SC43',2023/12/8,'0-8',1,2
'SC43',2023/12/8,'5-13',1,7
'SC43',2023/12/8,'8-16',4,2
'SC43',2023/12/8,'12-20',1,5
'SC43',2023/12/8,'14-22',1,1
'SC43',2023/12/8,'16-24',3,1
'SC44',2023/12/8,'0-8',1,17
'SC44',2023/12/8,'5-13',8,1
'SC44',2023/12/8,'8-16',12,14
'SC44',2023/12/8,'12-20',1,18
'SC44',2023/12/8,'14-22',8,3
'SC44',2023/12/8,'16-24',5,90
'SC46',2023/12/8,'0-8',2,1
'SC46',2023/12/8,'5-13',2,1
'SC46',2023/12/8,'8-16',6,14
'SC46',2023/12/8,'12-20',3,1
'SC46',2023/12/8,'14-22',1,8
'SC46',2023/12/8,'16-24',5,16
'SC47',2023/12/8,'0-8',10,148
'SC47',2023/12/8,'5-13',12,29
'SC47',2023/12/8,'8-16',3,56
'SC47',2023/12/8,'12-20',9,33
'SC47',2023/12/8,'14-22',1,32
'SC47',2023/12/8,'16-24',21,126
'SC48',2023/12/8,'0-8',1,1
'SC48',2023/12/8,'5-13',1,1
'SC48',2023/12/8,'8-16',1,1
'SC48',2023/12/8,'12-20',1,1
'SC48',2023/12/8,'14-22',1,1
'SC48',2023/12/8,'16-24',1,1
'SC49',2023/12/8,'0-8',1,37
'SC49',2023/12/8,'5-13',1,1
'SC49',2023/12/8,'8-16',5,6
'SC49',2023/12/8,'12-20',1,9
'SC49',2023/12/8,'14-22',1,14
'SC49',2023/12/8,'16-24',2,14
'SC5',2023/12/8,'0-8',1,113
'SC5',2023/12/8,'5-13',2,5
'SC5',2023/12/8,'8-16',5,29
'SC5',2023/12/8,'12-20',2,55
'SC5',2023/12/8,'14-22',1,1
'SC5',2023/12/8,'16-24',1,88
'SC51',2023/12/8,'0-8',11,38
'SC51',2023/12/8,'5-13',9,7
'SC51',2023/12/8,'8-16',2,4
'SC51',2023/12/8,'12-20',2,34
'SC51',2023/12/8,'14-22',5,1
'SC51',2023/12/8,'16-24',1,40
'SC52',2023/12/8,'0-8',2,2
'SC52',2023/12/8,'5-13',2,1
'SC52',2023/12/8,'8-16',1,2
'SC52',2023/12/8,'12-20',1,1
'SC52',2023/12/8,'14-22',1,2
'SC52',2023/12/8,'16-24',3,5
'SC53',2023/12/8,'0-8',3,67
'SC53',2023/12/8,'5-13',1,1
'SC53',2023/12/8,'8-16',3,26
'SC53',2023/12/8,'12-20',1,39
'SC53',2023/12/8,'14-22',1,28
'SC53',2023/12/8,'16-24',9,177
'SC54',2023/12/8,'0-8',1,8
'SC54',2023/12/8,'5-13',2,13
'SC54',2023/12/8,'8-16',1,7
'SC54',2023/12/8,'12-20',1,13
'SC54',2023/12/8,'14-22',3,1
'SC54',2023/12/8,'16-24',1,30
'SC55',2023/12/8,'0-8',2,1
'SC55',2023/12/8,'5-13',1,6
'SC55',2023/12/8,'8-16',2,5
'SC55',2023/12/8,'12-20',1,6
'SC55',2023/12/8,'14-22',2,1
'SC55',2023/12/8,'16-24',1,1
'SC56',2023/12/8,'0-8',1,1
'SC56',2023/12/8,'5-13',1,1
'SC56',2023/12/8,'8-16',1,2
'SC56',2023/12/8,'12-20',1,1
'SC56',2023/12/8,'14-22',1,1
'SC56',2023/12/8,'16-24',4,2
'SC57',2023/12/8,'0-8',1,53
'SC57',2023/12/8,'5-13',1,12
'SC57',2023/12/8,'8-16',1,5
'SC57',2023/12/8,'12-20',1,13
'SC57',2023/12/8,'14-22',3,1
'SC57',2023/12/8,'16-24',1,24
'SC58',2023/12/8,'0-8',1,1
'SC58',2023/12/8,'5-13',1,1
'SC58',2023/12/8,'8-16',1,1
'SC58',2023/12/8,'12-20',1,1
'SC58',2023/12/8,'14-22',1,1
'SC58',2023/12/8,'16-24',1,5
'SC6',2023/12/8,'0-8',11,75
'SC6',2023/12/8,'5-13',1,1
'SC6',2023/12/8,'8-16',5,39
'SC6',2023/12/8,'12-20',2,1
'SC6',2023/12/8,'14-22',3,9
'SC6',2023/12/8,'16-24',7,117
'SC60',2023/12/8,'0-8',8,221
'SC60',2023/12/8,'5-13',2,54
'SC60',2023/12/8,'8-16',7,29
'SC60',2023/12/8,'12-20',8,2
'SC60',2023/12/8,'14-22',1,61
'SC60',2023/12/8,'16-24',25,205
'SC61',2023/12/8,'0-8',1,1
'SC61',2023/12/8,'5-13',1,1
'SC61',2023/12/8,'8-16',1,1
'SC61',2023/12/8,'12-20',1,1
'SC61',2023/12/8,'14-22',1,1
'SC61',2023/12/8,'16-24',1,2
'SC63',2023/12/8,'0-8',1,2
'SC63',2023/12/8,'5-13',3,2
'SC63',2023/12/8,'8-16',1,2
'SC63',2023/12/8,'12-20',3,1
'SC63',2023/12/8,'14-22',3,1
'SC63',2023/12/8,'16-24',1,1
'SC66',2023/12/8,'0-8',1,1
'SC66',2023/12/8,'5-13',1,2
'SC66',2023/12/8,'8-16',1,2
'SC66',2023/12/8,'12-20',1,1
'SC66',2023/12/8,'14-22',1,1
'SC66',2023/12/8,'16-24',1,1
'SC68',2023/12/8,'0-8',1,1
'SC68',2023/12/8,'5-13',1,1
'SC68',2023/12/8,'8-16',4,1
'SC68',2023/12/8,'12-20',1,1
'SC68',2023/12/8,'14-22',1,1
'SC68',2023/12/8,'16-24',4,2
'SC7',2023/12/8,'0-8',4,117
'SC7',2023/12/8,'5-13',3,1
'SC7',2023/12/8,'8-16',10,72
'SC7',2023/12/8,'12-20',18,21
'SC7',2023/12/8,'14-22',7,6
'SC7',2023/12/8,'16-24',1,126
'SC8',2023/12/8,'0-8',6,128
'SC8',2023/12/8,'5-13',4,32
'SC8',2023/12/8,'8-16',2,15
'SC8',2023/12/8,'12-20',10,48
'SC8',2023/12/8,'14-22',2,39
'SC8',2023/12/8,'16-24',32,105
'SC9',2023/12/8,'0-8',7,100
'SC9',2023/12/8,'5-13',6,47
'SC9',2023/12/8,'8-16',1,38
'SC9',2023/12/8,'12-20',4,1
'SC9',2023/12/8,'14-22',1,1
'SC9',2023/12/8,'16-24',3,53
'SC1',2023/12/9,'0-8',12,116
'SC1',2023/12/9,'5-13',1,44
'SC1',2023/12/9,'8-16',1,39
'SC1',2023/12/9,'12-20',11,37
'SC1',2023/12/9,'14-22',7,1
'SC1',2023/12/9,'16-24',8,120
'SC10',2023/12/9,'0-8',1,145
'SC10',2023/12/9,'5-13',17,8
'SC10',2023/12/9,'8-16',10,14
'SC10',2023/12/9,'12-20',4,22
'SC10',2023/12/9,'14-22',1,1
'SC10',2023/12/9,'16-24',24,173
'SC12',2023/12/9,'0-8',1,5
'SC12',2023/12/9,'5-13',1,6
'SC12',2023/12/9,'8-16',3,8
'SC12',2023/12/9,'12-20',3,1
'SC12',2023/12/9,'14-22',1,3
'SC12',2023/12/9,'16-24',1,3
'SC14',2023/12/9,'0-8',1,1
'SC14',2023/12/9,'5-13',1,1
'SC14',2023/12/9,'8-16',1,6
'SC14',2023/12/9,'12-20',2,1
'SC14',2023/12/9,'14-22',1,2
'SC14',2023/12/9,'16-24',3,1
'SC15',2023/12/9,'0-8',1,17
'SC15',2023/12/9,'5-13',1,5
'SC15',2023/12/9,'8-16',2,18
'SC15',2023/12/9,'12-20',4,1
'SC15',2023/12/9,'14-22',2,1
'SC15',2023/12/9,'16-24',4,17
'SC16',2023/12/9,'0-8',2,2
'SC16',2023/12/9,'5-13',1,1
'SC16',2023/12/9,'8-16',2,2
'SC16',2023/12/9,'12-20',2,1
'SC16',2023/12/9,'14-22',1,1
'SC16',2023/12/9,'16-24',2,3
'SC17',2023/12/9,'0-8',2,59
'SC17',2023/12/9,'5-13',3,19
'SC17',2023/12/9,'8-16',3,3
'SC17',2023/12/9,'12-20',6,1
'SC17',2023/12/9,'14-22',7,29
'SC17',2023/12/9,'16-24',1,62
'SC18',2023/12/9,'0-8',1,5
'SC18',2023/12/9,'5-13',5,1
'SC18',2023/12/9,'8-16',1,5
'SC18',2023/12/9,'12-20',1,1
'SC18',2023/12/9,'14-22',4,1
'SC18',2023/12/9,'16-24',1,29
'SC19',2023/12/9,'0-8',1,9
'SC19',2023/12/9,'5-13',1,7
'SC19',2023/12/9,'8-16',1,4
'SC19',2023/12/9,'12-20',2,6
'SC19',2023/12/9,'14-22',2,6
'SC19',2023/12/9,'16-24',1,17
'SC2',2023/12/9,'0-8',2,6
'SC2',2023/12/9,'5-13',3,1
'SC2',2023/12/9,'8-16',7,6
'SC2',2023/12/9,'12-20',1,1
'SC2',2023/12/9,'14-22',2,5
'SC2',2023/12/9,'16-24',6,16
'SC20',2023/12/9,'0-8',1,1
'SC20',2023/12/9,'5-13',1,1
'SC20',2023/12/9,'8-16',1,1
'SC20',2023/12/9,'12-20',1,1
'SC20',2023/12/9,'14-22',1,1
'SC20',2023/12/9,'16-24',1,1
'SC21',2023/12/9,'0-8',1,1
'SC21',2023/12/9,'5-13',1,1
'SC21',2023/12/9,'8-16',1,2
'SC21',2023/12/9,'12-20',1,1
'SC21',2023/12/9,'14-22',1,1
'SC21',2023/12/9,'16-24',4,1
'SC22',2023/12/9,'0-8',13,1
'SC22',2023/12/9,'5-13',5,1
'SC22',2023/12/9,'8-16',5,9
'SC22',2023/12/9,'12-20',13,1
'SC22',2023/12/9,'14-22',9,1
'SC22',2023/12/9,'16-24',2,22
'SC23',2023/12/9,'0-8',1,1
'SC23',2023/12/9,'5-13',3,1
'SC23',2023/12/9,'8-16',1,6
'SC23',2023/12/9,'12-20',1,3
'SC23',2023/12/9,'14-22',1,1
'SC23',2023/12/9,'16-24',2,8
'SC24',2023/12/9,'0-8',4,4
'SC24',2023/12/9,'5-13',2,3
'SC24',2023/12/9,'8-16',2,12
'SC24',2023/12/9,'12-20',2,5
'SC24',2023/12/9,'14-22',1,2
'SC24',2023/12/9,'16-24',2,6
'SC25',2023/12/9,'0-8',1,163
'SC25',2023/12/9,'5-13',1,1
'SC25',2023/12/9,'8-16',2,34
'SC25',2023/12/9,'12-20',2,42
'SC25',2023/12/9,'14-22',1,1
'SC25',2023/12/9,'16-24',1,226
'SC26',2023/12/9,'0-8',4,1
'SC26',2023/12/9,'5-13',1,13
'SC26',2023/12/9,'8-16',2,5
'SC26',2023/12/9,'12-20',4,5
'SC26',2023/12/9,'14-22',2,1
'SC26',2023/12/9,'16-24',2,1
'SC27',2023/12/9,'0-8',2,1
'SC27',2023/12/9,'5-13',7,1
'SC27',2023/12/9,'8-16',1,2
'SC27',2023/12/9,'12-20',6,1
'SC27',2023/12/9,'14-22',4,1
'SC27',2023/12/9,'16-24',1,16
'SC28',2023/12/9,'0-8',1,1
'SC28',2023/12/9,'5-13',1,1
'SC28',2023/12/9,'8-16',1,1
'SC28',2023/12/9,'12-20',1,1
'SC28',2023/12/9,'14-22',1,1
'SC28',2023/12/9,'16-24',1,2
'SC29',2023/12/9,'0-8',7,1
'SC29',2023/12/9,'5-13',4,5
'SC29',2023/12/9,'8-16',5,5
'SC29',2023/12/9,'12-20',3,1
'SC29',2023/12/9,'14-22',7,1
'SC29',2023/12/9,'16-24',1,29
'SC3',2023/12/9,'0-8',4,81
'SC3',2023/12/9,'5-13',5,23
'SC3',2023/12/9,'8-16',6,1
'SC3',2023/12/9,'12-20',7,1
'SC3',2023/12/9,'14-22',5,15
'SC3',2023/12/9,'16-24',1,29
'SC30',2023/12/9,'0-8',1,4
'SC30',2023/12/9,'5-13',3,1
'SC30',2023/12/9,'8-16',1,9
'SC30',2023/12/9,'12-20',5,1
'SC30',2023/12/9,'14-22',5,1
'SC30',2023/12/9,'16-24',4,3
'SC31',2023/12/9,'0-8',5,43
'SC31',2023/12/9,'5-13',7,1
'SC31',2023/12/9,'8-16',6,23
'SC31',2023/12/9,'12-20',7,1
'SC31',2023/12/9,'14-22',1,1
'SC31',2023/12/9,'16-24',2,31
'SC32',2023/12/9,'0-8',1,2
'SC32',2023/12/9,'5-13',1,1
'SC32',2023/12/9,'8-16',2,1
'SC32',2023/12/9,'12-20',1,1
'SC32',2023/12/9,'14-22',1,1
'SC32',2023/12/9,'16-24',2,4
'SC34',2023/12/9,'0-8',4,18
'SC34',2023/12/9,'5-13',8,1
'SC34',2023/12/9,'8-16',3,6
'SC34',2023/12/9,'12-20',2,12
'SC34',2023/12/9,'14-22',1,1
'SC34',2023/12/9,'16-24',1,28
'SC35',2023/12/9,'0-8',13,67
'SC35',2023/12/9,'5-13',2,61
'SC35',2023/12/9,'8-16',9,1
'SC35',2023/12/9,'12-20',4,1
'SC35',2023/12/9,'14-22',8,1
'SC35',2023/12/9,'16-24',2,138
'SC36',2023/12/9,'0-8',1,1
'SC36',2023/12/9,'5-13',1,1
'SC36',2023/12/9,'8-16',1,2
'SC36',2023/12/9,'12-20',1,1
'SC36',2023/12/9,'14-22',1,1
'SC36',2023/12/9,'16-24',1,1
'SC37',2023/12/9,'0-8',1,1
'SC37',2023/12/9,'5-13',1,1
'SC37',2023/12/9,'8-16',1,2
'SC37',2023/12/9,'12-20',1,1
'SC37',2023/12/9,'14-22',1,1
'SC37',2023/12/9,'16-24',1,2
'SC38',2023/12/9,'0-8',6,4
'SC38',2023/12/9,'5-13',6,1
'SC38',2023/12/9,'8-16',1,4
'SC38',2023/12/9,'12-20',1,1
'SC38',2023/12/9,'14-22',5,1
'SC38',2023/12/9,'16-24',5,8
'SC39',2023/12/9,'0-8',1,6
'SC39',2023/12/9,'5-13',1,1
'SC39',2023/12/9,'8-16',2,2
'SC39',2023/12/9,'12-20',1,1
'SC39',2023/12/9,'14-22',2,1
'SC39',2023/12/9,'16-24',2,5
'SC4',2023/12/9,'0-8',6,115
'SC4',2023/12/9,'5-13',6,1
'SC4',2023/12/9,'8-16',1,28
'SC4',2023/12/9,'12-20',3,14
'SC4',2023/12/9,'14-22',1,27
'SC4',2023/12/9,'16-24',3,140
'SC40',2023/12/9,'0-8',2,6
'SC40',2023/12/9,'5-13',1,1
'SC40',2023/12/9,'8-16',1,6
'SC40',2023/12/9,'12-20',1,1
'SC40',2023/12/9,'14-22',1,1
'SC40',2023/12/9,'16-24',2,7
'SC41',2023/12/9,'0-8',1,2
'SC41',2023/12/9,'5-13',1,1
'SC41',2023/12/9,'8-16',1,7
'SC41',2023/12/9,'12-20',1,1
'SC41',2023/12/9,'14-22',1,1
'SC41',2023/12/9,'16-24',1,1
'SC43',2023/12/9,'0-8',1,2
'SC43',2023/12/9,'5-13',1,4
'SC43',2023/12/9,'8-16',3,7
'SC43',2023/12/9,'12-20',1,2
'SC43',2023/12/9,'14-22',3,1
'SC43',2023/12/9,'16-24',3,1
